code,name
766470,Усть-Тискос
797021,Усть-Юган
767825,Усьва
767702,УСЬВА
767505,Утес
783404,Уткинский Завод
792102,Утяшево
799309,Фарафонтьевская (до Сывдармы (стр))
761509,Ферма
776006,Филькино
787138,Хабарчиха
798522,Ханымей
783601,Харенки
798626,Хохорэй (рзд)
794822,Храмцовская
766428,Хребет-Уральский
794502,Хризолитовый
781540,Хрустальная
787706,Худяково
762543,Чайковская
762605,ЧАЙКОВСКАЯ
772927,ЧЕКМЕНЬ (РЗД)
761800,ЧЕПЦА
761848,Чепца
761886,ЧЕПЦА-БАЛ
797407,Черный Мыс
763716,ЧИКАЛИ
779216,ЧУЛЬЧАМЫ
767308,Чусовская
791740,Шаблыкино
762624,Шабуничи
787123,Шайтан
783002,Шаля
764306,Шамары
780603,Шарташ
765116,Шестаки
766305,Шибаново
793425,Шипелово
780209,Шувакиш
763932,Шумково
770832,Шурала
772804,ШУРАЛА
788022,Шуфрук
763006,Юг
796508,Юность Комсомольская
792507,Юшала
799205,Ягельная (до Сывдармы (стр))
768902,Яйва
790802,Ялуторовск
799900,Ямбург (до Сывдармы (стр))
764808,Ярино
772306,Ясашная
280026,28002
281508,28150
284421,28442
285104,28510
286624,28662
287843,28784
288117,28811
288121,28812
288136,28813
288140,28814
288403,28840
288418,28841
288422,28842
288526,28852
288530,28853
288615,28861
288846,28884
288920,28892
288946,28894
289020,28902
289035,28903
289232,28923
289321,28932
289618,28961
289622,28962
290558,29055
290954,29095
292004,29200
293204,29320
293613,29361
295017,29501
295110,29511
295136,29513
295712,29571
296005,29600
296024,29602
296217,29621
297493,29749
297582,29758
298985,29898
299075,29907
301129,30112
304413,30441
310019,31001
310908,31090
316105,31610
316406,31640
317803,31780
319103,31910
319404,31940
319601,31960
306813,Абросимово (рзд)
282318,Айкино
282708,Айкино (перев.)
306300,Антропово
288028,АРАНЕЦ (ОБП)
315704,Арменки
290403,Архангельск
290102,Архангельск (перев.)
291209,Архангельск (эксп.)
290507,Архангельск-Город
290704,Архангельск-Город (перев.)
290600,Архангельск-Город (эксп.)
317201,Бавлены
290305,Бакарица
290808,Бакарица (перев.)
291001,Бакарица (эксп.)
302935,Бакланка
303105,БАКЛАНКА
313304,Балакирево
313821,Беклемишево
313408,Берендеево
319315,Большаково
295036,Большая Кяма
307002,Брантовка
295445,Брусеница
304606,Буй
293505,Бурачиха
315403,Бурмакино
303444,Бушуиха
297807,Вага
296912,Валдеево
293308,Вандыш
307407,Варакинский
312662,Варегово
290162,Васьково (рзд)
312689,Ваулово
282801,Вежайка
282106,Вездино
299709,Великий Устюг
297703,Вельск
283700,Вендинга
296908,Вересово
286003,Верхнеижемская
297603,Верхняя Синега
284826,Весляна
285706,Ветласян
281103,Виледь
286802,Вис
316603,Вичуга
301400,Вожега
283005,Вожская
311807,Волга
316209,Волгореченск
300107,Вологда I
300304,Вологда II
300200,Вологда-Пристань
300408,Вологда-Пристань (перев.)
300817,Волонга
296039,Вонгуда
298814,Вонжуга
289503,Воркута
303603,Вохтога
280613,Вычегда
317606,Гаврилов Посад
314504,Гаврилов-Ям
306006,Галич
296221,Глазаниха
291302,Глубокое-Новое
318806,Горино
316507,Горкино
308109,Гостовская
296012,ГРИБАНИХА
303209,Грязовец
311101,Данилов
314218,Деболовская
301720,Дикая
316016,ДОМОВИЦЫ (РЗД)
305308,Дровинки
315121,Дунайка
283202,Едва
315511,ЕЖОВО (РЗД)
306601,Еленский
289603,Елецкая
294809,Емца
299107,Ерга
282910,Еринь
316302,Ермолино
292907,Ерцево
290901,Жаровиха
291800,Жаровиха (перев.)
304201,ЖАРОК
304127,Жарок-Ярославский (рзд)
317023,Желдыбино
305806,Заволжск
300516,ЗАИОНИКИЕВО
299906,Заовражье
307708,Зебляки
287218,Зеленоборск
293516,Зеленый (обп)
294207,Ивакша
318632,Иваново
318505,ИВАНОВО
318609,Иваново-Сортировочное
305702,Ивашево
298301,Илеза
288600,ИНТА I
288672,Инта I
288704,Инта II
285000,Иоссер
287102,Ираель
290009,Исакогорка
313910,Итларь
287504,Каджером
